tid,song_hotttnesss,end_of_fade_in,mode,time_signature,bars_start,key,start_of_fade_out,year,duration,loudness,tempo,title,artist_name
TRAAABD128F429CF47,nan,0.148,0,4,[0.71054 2.71502 4.70861 6.69288 8.66941 10.63723 12.59938 14.56769 16.55089 18.53608 20.52373 22.50833 24.4816 26.45642 28.43502 30.41405 32.38847 34.37023 36.35646 38.34356 40.33028 42.2909 44.26107 46.24938 48.23573 50.22563 52.21349 54.19803 56.17004 58.13331 60.09193 62.05402 64.01951 65.9961 67.9755 69.94978 71.91915 73.89849 75.89852 77.8959 79.88932 81.87686 83.86489 85.85564 87.8507 89.84217 91.82886 93.81646 95.80781 97.79899 99.78998 101.7791 103.74977 105.71514 107.67721 109.64037 111.60995 113.58677 115.57445 117.54784 119.50766 121.45594 123.4124 125.37238 127.33195 129.27638 131.22494 133.17052 135.1289 137.07748 139.03272 140.98179 142.93666],6,137.915,1969,148.03546,-9.843,121.274,Soul Deep,The Box Tops
TRAAAEF128F4273421,nan,0.0,1,4,[1.30621 3.29887 5.30252 7.32327 9.33775 11.34637 13.3489 15.36927 17.37818 19.38657 21.38966 23.40355 25.42685 27.43947 29.48973 31.47795 33.48409 35.49259 37.50867 39.52602 41.53812 43.53931 45.54431 47.54802 49.56998 51.5806 53.60075 55.627 57.64877 59.66034 61.6809 63.69958 65.71134 67.71832 69.72736 71.74126 73.75477 75.74774 77.75478 79.76871 81.7952 83.86759 85.82231 87.83391 89.83132 91.84705 93.86201 95.86723 97.88693 99.91358 101.93569 103.94568 105.94997 107.95368 109.96207 111.97526 113.98146 115.99253 118.01286 120.02685 122.0425 124.06151 126.08684 128.09791 130.0982 132.11108 134.13341 136.15429 138.16249 140.16116 142.15994 144.16306 146.17868 148.20863 150.22407 152.21848 154.22222 156.22188 158.23276 160.26438 162.28924 164.30137 166.311 168.31187 170.32145 172.32994 174.33206 176.34197 178.35545 180.36489 182.37455 184.38222 186.39954 188.42158 190.43848 192.41827 194.42176 196.45759 198.47575 200.47251 202.4738 204.50449 206.51641 208.51857 210.53217 212.5529 214.56442 216.568 218.5756 220.55367 222.58863 224.59172 226.62546 228.65015 230.67859],0,217.124,1982,233.40363,-9.013,119.293,Something Girls,Adam Ant
TRAAAFD128F92F423A,0.604500738589,0.066,1,4,[1.06368 2.91491 4.76729 6.61852 8.46978 10.31954 12.1684 14.01618 15.86854 17.72016 19.57034 21.42097 23.26694 25.11591 26.96477 28.81723 30.67129 32.52131 34.36996 36.21863 38.07287 39.92332 41.77184 43.6253 45.47336 47.32314 49.17192 51.01493 52.87744 54.73294 56.58401 58.4296 60.27803 62.13322 63.98436 65.83346 67.68706 69.53291 71.3823 73.22534 75.07781 76.93367 78.7861 80.63581 82.4837 84.33442 86.18549 88.03993 89.89158 91.74192 93.58976 95.44063 97.29222 99.1443 100.99437 102.84427 104.69358 106.54621 108.39755 110.24815 112.10099 113.94647 115.79543 117.65013 119.50322 121.3537 123.20542 125.05319 126.90047 128.75254 130.60777 132.45387 134.30544 136.15841 138.00737 139.84851 141.70079 143.54666 145.40675 147.25559 149.10441 150.95916 152.81055 154.65777 156.50628 158.36111 160.20949 162.06418 163.9159 165.76237 167.6145 169.17384 170.84488 172.70013 174.55314 176.4056 178.25619 180.1074 181.95895 183.80594 185.65772 187.50734 189.35831 191.20731 193.05921 194.91198 196.76268 198.60949 200.45554 202.30284],2,198.699,2007,209.60608,-4.501,129.738,Face the Ashes,Gob
TRAAARJ128F9320760,0.265861049211,5.3,1,4,[1.91886 4.69392 7.46235 10.22307 12.98979 15.76072 18.52673 21.28475 24.04351 26.80805 29.57387 32.38694 35.28342 38.06123 40.88182 43.74432 46.52567 49.28269 52.04945 54.81921 57.57996 60.34827 63.12025 65.88376 68.64881 71.42185 74.18882 76.9491 79.71297 82.47655 85.24299 88.01121 90.78316 93.54745 96.31385 99.08785 101.85456 104.79485 107.5618 110.33466 113.09492 115.86056 118.62734 121.41695 124.50374 127.27651 130.03849 132.81027 135.56318 138.32899 141.10016 143.89172 146.68594 149.56338 152.34064 155.24076 158.04445 160.80906 163.58023 166.36302 169.11879 171.87758 174.6422 177.39784 180.17234 182.94231 185.70569 188.47137 191.23712 194.00363 196.77184 199.54095 202.30501 205.06789 207.8405 210.6122 213.37733 216.14789 218.91195 221.6871 224.44241 227.21186 229.98116 236.39263 239.14465 241.9295 244.7108 247.44445 250.21356 252.99606 255.87891 258.65769 261.43646],4,258.99,1984,269.81832,-13.496,86.643,Pink World,Planet P Project
TRAABLR128F423B7E3,0.405115721691,0.0,1,4,[1.32118 3.37396 5.40277 7.44162 9.48489 11.55636 13.63011 15.62736 17.65468 19.68604 21.71375 23.73124 25.75044 27.764 29.77169 31.77885 33.7974 35.82554 37.85663 39.88917 41.91596 43.93812 45.95349 47.96639 49.99896 52.03274 54.05194 56.06973 58.09236 60.11635 62.12588 64.12585 66.1386 68.16464 70.19197 72.22863 74.25962 76.28885 78.32224 80.34301 82.3651 84.40084 86.26015 88.19947 90.22889 92.26049 94.29181 96.30849 98.33142 100.34606 102.35788 104.37171 106.38878 108.41242 110.43981 112.45896 114.47427 116.50442 118.56709 120.63148 122.68635 124.69012 126.73715 128.78177 130.7766 132.72388 134.72298 136.73781 138.74307 140.74158 142.72285 144.69152 146.67146 148.64973 150.61788 152.57163 154.53291 156.50792 158.50689 160.52063 162.50515 164.49241 166.43583 168.44927 170.47317 172.51354 174.54756 176.58665 178.59844 180.58991 182.58361 184.57372 186.57454 188.57323 190.56388 192.5735 194.5871 196.58075 198.56996 200.55445 202.6047 204.61277 206.60669 208.50039 210.47651 212.47434 214.4749 216.47808 218.49316 220.48438 222.49706 224.54361 226.55039 228.56735 230.58127 232.58474 234.61316 236.64892 238.67502 240.70309 242.73143 244.76064 246.78846 248.79932 250.81318 252.82869 254.85552 256.88352 258.91232 260.93554 262.94334 264.93257 266.9223 268.92096 270.91649 272.90753 274.90527 276.89583 278.87601 280.86574 282.86874 284.86946 286.85316 288.83014 290.81218 292.78329 294.74969 296.71833 298.69647 300.68273 302.66928 304.66073 306.65084 308.63554 310.60531 312.5703 314.54588 316.52944 318.50751 320.48903 322.464 324.42803 326.39132 328.34481 330.30121 332.25227 334.18484 336.10277 338.02021 339.94608 341.86842 343.78706 345.72202 347.67123 349.6276 351.58633 353.53771 355.49536 357.43082 359.36016 361.30917 363.26168 365.21463 367.17533 369.12191 371.06608 372.98223 374.88415 376.80456 378.75137 380.70207 382.63087 384.56851 386.4984 388.41939 390.34892 392.30824 394.28107 396.25332 398.22955 400.20252 402.17808 404.16248 406.14007 408.12914 410.12207 412.10728 414.06937 416.02642 417.95522 419.89454 421.85236 423.79717 425.73935 427.6769 429.61014 431.5476 433.47785 435.39794 437.29137 439.20298 441.12747 443.04375 444.95295 446.85771 448.74538 450.61794 452.49504 454.39617 456.29749 458.19046 460.09404 461.98642 463.86316 465.73422 469.44007 471.33078 473.37241 475.52479 477.65069 479.66361 481.71649 483.6642 485.18425 486.93055 488.77794],7,486.034,1987,491.12771,-8.576,119.826,Floating,Blue Rodeo
TRAABVM128F92CA9DC,0.684136191229,0.145,1,4,[0.8752 2.48815 4.09489 5.64006 7.23473 8.82945 10.42353 12.01455 13.60466 15.20807 16.80993 18.38277 19.96531 21.55866 23.27388 24.88926 26.48728 28.08703 29.68808 31.29258 32.89686 34.49326 36.09081 37.68704 39.28447 40.88052 42.48539 44.09171 45.69506 47.29214 48.89347 50.49089 52.09742 53.69511 55.2929 56.8909 58.48876 60.08324 61.68615 63.28839 64.88919 66.48896 68.08714 69.68759 71.28832 72.89123 74.48797 76.08106 77.67811 79.28055 80.88272 82.4868 84.08726 85.68968 87.2931 88.88655 90.48531 92.04022 93.69046 95.29146 96.8895 98.49009 100.09394 101.69031 103.28626 104.89016 106.49134 108.08735 109.68464 111.28539 112.88706 114.48911 116.0887 117.68863 119.28709 120.88508 122.48694 124.08233 125.68101 127.28518 128.89176 130.49416 132.09892 133.7037 135.29763 136.89152 138.49533 140.08955 141.68341 143.2879 144.88676 146.48657 148.0863 149.68812 151.28465 152.88373 154.48143 156.08592 157.68909 159.2875 160.88681 162.48697 164.08409 165.6821 167.28491 168.88772 170.4864 172.08582 173.6826 175.28169 176.88615 178.48841 180.08372 181.67959 183.27611 184.87972 186.4843 188.08701 189.68542 191.28305 192.87505 194.46579 196.07028 197.67074 199.2606 200.84736 202.4635 204.07983 205.68754 207.29126 208.89135 210.4935 212.09001 213.68557 215.29339 216.89389 218.48718 220.08452 221.68298 223.28312 224.88584 226.48221 228.08035 229.67917 231.28337 232.8843 234.48239 236.07999 237.67845 239.28044 240.87788 242.47915 244.08226 245.67761 247.27752 248.8787 250.48387 252.08691 253.70019 255.31913 256.92568 258.52858 260.13219 261.72797 263.30509 264.8821 266.48881 268.1055 269.70922 271.30428 272.89228 274.50298 276.11867 277.72439 279.52475 281.10652 282.70725],7,285.605,2004,290.29832,-5.271,150.062,Caught In A Dream,Tesla
TRAACER128F4290F96,0.66652784623,0.061,1,4,[1.06698 2.51777 3.96082 5.40229 6.841 8.28159 9.72121 11.1612 12.5978 14.03377 15.4731 16.91385 18.35153 19.79432 21.23493 22.66122 24.08715 25.53177 26.97538 28.41866 29.85842 31.28226 32.72239 34.17396 35.62731 37.07027 38.51105 39.95404 41.39143 42.82232 44.25445 45.69708 47.14046 48.58182 50.0231 51.4643 52.90096 54.34704 55.68337 57.1011 58.54244 59.98228 61.42005 62.86129 64.29693 65.73771 67.25369 68.69699 70.14289 71.5793 73.0184 74.45842 75.90163 77.34377 78.77862 80.21583 81.6479 83.08271 84.52665 85.97068 87.40368 88.83263 90.26502 91.70378 93.14723 94.58536 96.01678 97.44957 98.89322 100.33873 101.78836 103.23362 104.6729 106.11277 107.5569 108.99391 110.42413 111.85585 113.29544 114.73631 116.1789 117.61701 119.05301 120.48743 121.92333 123.36122 124.79305 126.22803 127.66505 129.10067 130.54019 131.9808 133.41908 134.85911 136.29883 137.73907 139.17628 140.61056 142.04472 143.47266 144.91546 146.36553 147.81093 149.24258 150.68843 152.13247 153.56824 155.00042 156.4422 157.88079 159.32404 160.76176 162.19944 163.63644 165.07091 166.50587 167.94696 169.38997 170.83513 172.27121 173.70564 175.13851 176.58296 178.02546 179.4658 180.89178 182.32254 183.75728 185.19457 186.63531 188.0701 189.50715 190.94989 192.40876 193.86767 195.29615 196.72243 198.14581 199.57661 201.01976 202.4642 203.90543],7,204.696,2004,207.77751,-4.264,166.862,Setting Fire to Sleeping Giants,The Dillinger Escape Plan
TRAACHN128F1489601,0.3759843015,0.0,1,1,[0.08901 0.4688 0.84858 1.22837 1.5956 1.96283 2.33006 2.69728 3.03576 3.34549 3.65523 3.96496 4.3998 4.83465 5.25965 5.68464 6.07418 6.42641 6.77956 7.13272 7.50974 7.88769 8.2612 8.62843 8.99565 9.36288 9.73011 10.09734 10.46457 10.83179 11.24107 11.66887 12.06874 12.44393 12.80168 13.15116 13.51839 13.88561 14.25284 14.62007 14.9873 15.37268 15.75806 16.14625 16.53726 16.92826 17.29427 17.64467 17.99782 18.34546 18.70137 19.07415 19.43375 19.79785 20.14621 20.51121 20.86897 21.23324 21.59841 21.96176 22.3279 22.69041 23.05446 23.42188 23.78658 24.14644 24.51057 24.87833 25.2436 25.60798 25.97597 26.34429 26.72363 27.101 27.47644 27.85282 28.22929 28.60671 28.98508 29.36172 29.74025 30.11716 30.49528 30.87436 31.25224 31.62918 32.00849 32.38368 32.75887 33.13315 33.50834 33.87711 34.25138 34.62565 34.99442 35.36869 35.73838 36.11173 36.48692 36.85661 37.22996 37.60424 37.97851 38.34911 38.71788 39.08756 39.45632 39.82509 40.19477 40.56353 40.9323 41.30014 41.66891 42.0414 42.40843 42.77546 43.1401 43.50879 43.87378 44.24255 44.60856 44.97548 45.34241 45.70567 46.07076 46.4386 46.80737 47.17613 47.54306 47.9155 48.2815 48.65027 49.02087 49.39239 49.76483 50.1391 50.5097 50.87755 51.24999 51.61783 51.98568 52.35352 52.72412 53.09013 53.45614 53.82582 54.18724 54.55601 54.92385 55.29537 55.66138 56.02647 56.39248 56.75849 57.1245 57.49143 57.85101 58.2161 58.58119 58.95913 59.33065 59.70493 60.07369 60.44889 60.825 61.19743 61.56712 61.94047 62.31567 62.68351 63.05228 63.42471 63.79348 64.16683 64.5356 64.90712 65.27864 65.65291 66.01916 66.39035 66.76247 67.13215 67.50091 67.8706 68.23936 68.60904 68.97689 69.34382 69.70891 70.07492 70.44001 70.79867 71.16191 71.53055 71.9019 72.26791 72.633 72.99993 73.36594 73.73378 74.10163 74.47039 74.84008 75.20975 75.57296 75.94448 76.3123 76.68012 77.04694 77.41553 77.78505 78.15932 78.53451 78.90971 79.28214 79.66101 80.03712 80.41048 80.782 81.14229 81.51115 81.89043 82.25525 82.62317 82.99016 83.35801 83.71942 84.08819 84.45572 84.82141 85.18793 85.55437 85.92081 86.28804 86.65436 87.01885 87.38777 87.75213 88.11786 88.48315 88.85119 89.21806 89.58468 89.94671 90.31057 90.67628 91.0429 91.4086 91.76788 92.12807 92.49194 92.85764 93.22334 93.58996 93.95475 94.32044 94.68891 95.05553 95.41946 95.77971 96.13901 96.50746 96.87315 97.23884 97.59994 97.96012 98.32581 98.69518 99.08107 99.45687 99.83082 100.20111 100.57598 100.94535 101.31471 101.68408 102.05436 102.42785 102.80135 103.17146 103.5447 103.91794 104.28823 104.66218 105.03339 105.40734 105.77579 106.15526 106.5237 106.89307 107.26152 107.63272 107.99841 108.36043 108.73071 109.0964 109.46118 109.82136 110.18705 110.55182 110.91751 111.28229 111.64798 112.02102 112.3812 112.74689 113.10891 113.4746 113.83386 114.20079 114.57639 114.93139 115.28768 115.64577 116.00475 116.36403 116.72332 117.08022 117.44557 117.81365 118.19792 118.57372 118.94216 119.31704 119.67997 120.05944 120.43248 120.79909 121.1693 121.53225 121.89611 122.25844 122.62259 122.98311 123.34513 123.70534 124.06156 124.42011 124.77955 125.13683 125.49389 125.84828 126.20458 126.55997 126.91537 127.2709 127.62644 127.98018 128.33503 128.69077 129.0431 129.40265 129.75866 130.11334 130.47023 130.82623 131.18454 131.54158 131.89504 132.28461 132.65581 133.02701 133.39546 133.76391 134.12983 134.48128 134.83273 135.18665 135.54057 135.90624 136.28021 136.65331 137.00283 137.35469 137.7048 138.05484 138.40392 138.75387 139.10582 139.45453 139.80499 140.15563 140.50647 140.85644 141.20687 141.5573 141.90773 142.25816 142.60859 142.95728 143.30824 143.65571 144.00916 144.36334 144.71403 145.07263 145.42929 145.78775 146.14269 146.50039 146.8554 147.20848 147.56782 147.92358 148.27522 148.62599 148.97764 149.34487 149.71211 150.07934 150.44657 150.81381 151.20062 151.59019 151.97241 152.33167 152.69645 153.05755 153.41773 153.78342 154.15921 154.52582 154.89519 155.24394 155.59269 155.93563 156.2752 156.61477 156.95434 157.30228 157.66186 158.02122 158.38217 158.73768 159.09835 159.45692 159.81822 160.1778 160.5329 160.89248 161.24899 161.60284 161.95758 162.31672 162.66959 163.02522 163.37917 163.734 164.08643 164.43999 164.79797 165.15014 165.50321 165.85715 166.20903 166.5618 166.91899 167.26161 167.61121 167.97006 168.3373 168.70453 169.06545 169.41674 169.74983 170.10082 170.47608 170.82627 171.18932 171.54699 171.90377 172.26146 172.62183 172.98184 173.34418 173.70652 174.07806 174.44423 174.81221 175.17667 175.54858 175.91491 176.28572 176.65747 177.02952 177.40001 177.7705 178.14832 178.52149 178.89374 179.25943 179.6343 180.00918 180.38406 180.76444 181.14942 181.51878 181.88815 182.25751 182.62596 182.99533 183.36102 183.72855 184.09516 184.46268 184.82654 185.19223 185.557 185.91902 186.2792 186.64489 187.00416 187.36985 187.73738 188.09664 188.46141 188.82711 189.1928 189.55298 189.91316 190.27877 190.63796 191.00564 191.3646 191.72174 192.08127 192.43782 192.79614 193.1541 193.51297 193.87365 194.23106 194.59211 194.95358 195.31095 195.67104 196.03152 196.39238 196.75233 197.11319 197.47406 197.83401 198.19415 198.55882 198.91909 199.28131 199.64172 200.00344 200.36648 200.73133 201.09696 201.45986 201.82186 202.18362 202.5463 202.90716 203.26245 203.62226 203.97814 204.33099 204.68385 205.04406 205.40011 205.75616 206.10573 206.46347 206.81666 207.1748 207.53476 207.8929 208.25108 208.60836 208.96762 209.32612 209.68372 210.04027 210.39762 210.75762 211.11489 211.46864 211.82326 212.18118 212.53909 212.8966 213.25369 213.60991 213.96245 214.31927 214.67521 215.03229 215.38961 215.74694 216.09916 216.45492 216.81245 217.15859 217.50739 217.85707 218.22428 218.59149 218.9587 219.32591 219.69313 220.06034 220.42755 220.79029 221.24639 221.70249 222.07074 222.43628 222.80635 223.16462 223.52381 223.89478 224.25396 224.61315 224.97233],7,225.097,0,225.09669,-5.908,164.672,Made Like This (Live),Five Bolt Main
TRAADLH12903CA70EE,0.528782480943,0.0,1,4,[0.90181 2.98748 5.07541 7.16201 9.22929 11.26883 13.31161 15.34371 17.3955 19.46482 21.55328 23.6402 25.71645 27.78789 29.82462 31.86764 33.92299 35.99523 38.08347 40.16653 42.24207 44.32418 46.40756 48.49726 50.57762 52.64253 54.71259 56.77879 58.84886 60.91892 62.99042 65.06048 67.13054 69.20575 71.28353 73.33944 75.39921 77.46798 80.55698 83.07124 85.13233],2,87.806,2003,95.68608,-2.022,115.887,Burning In The Aftermath,The Suicide Machines
TRAADNA128F9331246,nan,0.183,1,4,[0.74277 2.90664 5.1109 7.33537 9.52718 11.67172 13.80636 15.93095 18.05369 20.17321 22.27841 24.37374 26.45392 28.5539 30.67776 32.80317 34.92351 37.04572 39.15687 41.25526 43.34193 45.42421 47.54183 49.64421 51.72498 53.80305 55.89265 57.96959 60.02889 62.11523 64.19381 66.25069 68.29226 70.34695 72.43303 74.52464 76.60952 78.66954 80.73081 82.79184 84.84799 86.9112 88.99732 91.07347 93.12487 95.18574 97.2562 99.3083 101.32695 103.35915 105.43922 107.51439 109.56828 111.64754 113.71966 115.77528 117.81463 119.85533 121.9047 123.94701 125.95366 127.94276 129.94024 131.95471 133.96254 135.97673 138.0046 140.04474 142.08805 144.13532 146.16439 148.17536 150.16912 152.19639 154.23497 156.2752 158.30423 160.34345 162.38072 164.41579 166.44287 168.49449 170.57563 172.65692 174.71861 176.77985 178.85243 180.91015 182.95087 185.00154 187.0536 189.09547 191.1375 193.17625 195.22988 197.26006 199.27532 201.3087 203.36219 205.40673 207.43752 209.48099 211.52682 213.55575 215.56437 217.57104 219.57716 221.5814 223.57827 225.57423 227.55462 229.50968 231.4558 233.38315 235.31061 237.24095 239.16868 241.08045 243.00514],1,246.19,1992,248.78975,-7.805,116.721,Crossfire,Stevie Ray Vaughan
