TRATYJI128F4255D27,Bombay Rockers,Rock Tha Party,Pop|Rap,10|0.637099387103,8|0.0928044652601,5|0.0815101568451,7|0.0811806060993,24|0.036419293882,4|0.0187243963502,11|0.0184417945746,21|0.0107761274223,23|0.0105305867481,12|0.00221105724339,14|0.00199044115222,1|0.00132538864813,16|0.00111633282583,18|0.000961209455175,9|0.000881902030398,17|0.000785223388562,20|0.000689491922118,3|0.000596965569774,22|0.00056816768752,6|0.000542036106188,19|0.000341137516472,13|0.000228134315034,2|0.000177982814357,0|5.80219379829e-05,15|3.96931023418e-05
TRANIWL128F4262AB0,Bare Jr.,Tobacco Spit,Rock|Country,10|0.650282178075,17|0.18383338682,21|0.0830546136914,9|0.0284890613017,8|0.00914942630967,12|0.00639753060223,14|0.00575919425937,23|0.00453213090218,1|0.00383491402657,16|0.00323002646669,18|0.00278118846674,5|0.00240752324975,4|0.00230296996223,20|0.00199499388129,3|0.0017272757241,22|0.00164395118171,24|0.00162716123636,6|0.00156834138384,11|0.00148528262621,7|0.00145399254057,19|0.000987056173115,13|0.000660089767557,2|0.000514980109593,0|0.000167882186205,15|0.000114849055893
TRABXPR128F92F27FE,Cauterize,Shooting Stars,Rock,8|0.749216845578,14|0.0896541723953,18|0.0509869681988,3|0.0504825512948,24|0.0380206717075,12|0.00306194474057,21|0.00250917199052,23|0.00216913919484,1|0.00183544176093,16|0.00154593438726,9|0.00122128691681,5|0.00115227321457,4|0.00110223259597,17|0.0010874031561,20|0.000954831074998,10|0.000884766418549,22|0.000786817287412,6|0.000750629414728,11|0.000710876369079,7|0.00069590051056,19|0.000472418444838,13|0.000315927897455,2|0.00024647645101,0|8.0350686702e-05,15|5.49683126998e-05
TRALAZG128F93170BF,Juana Molina,Micael,Latin|World,2|0.443490360282,8|0.0774519608792,12|0.0541565419686,14|0.0487528806042,21|0.0443796638165,23|0.0383655120501,1|0.0324634136729,16|0.0273429038138,18|0.0235433887364,9|0.0216008719196,5|0.0203802282508,4|0.0194951610498,17|0.0192328731083,20|0.0168880739423,10|0.0156488420721,3|0.0146217792551,22|0.0139164181779,24|0.0137742874971,6|0.0132763641561,11|0.012573253007,7|0.0123083753625,19|0.00835565351512,13|0.00558780901919,0|0.00142116063655,15|0.000972223206458
TRABKBS128F42823EC,A Static Lullaby,God Bless You (Goddamn it),Rock,21|0.564331986428,17|0.18402059084,18|0.0667136551402,7|0.0660452510287,1|0.0541817358668,14|0.0420882464524,8|0.00460784579141,12|0.00322193255218,23|0.00228247756711,16|0.00162671006432,9|0.00128509963641,5|0.00121247994121,4|0.0011598246807,20|0.00100472137254,10|0.000930995810353,3|0.000869892811473,22|0.000827928798762,24|0.00081947302499,6|0.00078985009556,11|0.000748019937711,19|0.000497102493559,13|0.000332435253801,2|0.000259354942084,0|8.45490415439e-05,15|5.78404285615e-05
TRAZYQU128F934AC32,Lizzy Borden,Psychopath,Metal,12|0.228676668732,21|0.190500041093,14|0.116181615931,24|0.113206918948,8|0.0812771129632,1|0.0587785513296,5|0.0577509566773,10|0.0386759991634,3|0.0385886542935,23|0.02193531649,9|0.0205095952133,22|0.0198560834699,16|0.00232533233223,18|0.00200220881483,4|0.0016579339422,17|0.00163562809513,20|0.00143621850242,6|0.00112906657745,11|0.00106927164494,7|0.00104674556084,19|0.000710592825398,13|0.00047520603763,2|0.000370739965026,0|0.000120860271461,15|8.26811252937e-05
TRAEVLO128F933DE9E,Fiona,No More Lonely Nights,Reggae,16|0.725776997351,14|0.161061933932,22|0.0482928452376,9|0.0406069246185,18|0.00881870129072,8|0.00280954677963,12|0.00196451240687,21|0.00160985906801,23|0.0013916975065,1|0.00117760064826,5|0.000739286701076,4|0.000707181152345,17|0.000697666735497,20|0.000612609845125,10|0.000567657078652,3|0.000530400681303,24|0.00049965817056,6|0.000481596149878,11|0.000456091002658,7|0.000446482645109,19|0.000303098839056,13|0.000202696105519,2|0.000158136768308,0|5.15521782074e-05,15|3.52671068334e-05
TRARDJY128F14750EA,30 Seconds To Mars,Year Zero,Rock,16|0.658229068148,8|0.165601956731,12|0.0619456980655,21|0.0467092210546,19|0.0297290022917,18|0.0161510622368,14|0.00323892274975,23|0.0025488325663,1|0.00215672361872,9|0.00143506505888,5|0.00135397096764,4|0.00129517107198,17|0.0012777458374,20|0.00112196789633,10|0.00103963888834,3|0.000971405440749,22|0.00092454441405,24|0.000915101889018,6|0.000882022095232,11|0.000835310543664,7|0.000817713260838,13|0.000371228972098,2|0.000289620512439,0|9.4415539343e-05,15|6.45901497964e-05
TRARSKA128F9336A04,Britney Spears,3,Pop,3|0.515620249108,4|0.201552970607,14|0.167798304904,7|0.044136721644,8|0.0205382776184,9|0.0183177527532,23|0.0102548073246,1|0.0100201519858,12|0.00215315314873,21|0.001764444505,16|0.00108709783347,18|0.000936036898721,5|0.000810276118731,17|0.000764659629049,20|0.00067143521841,10|0.000622165898278,22|0.000553288273765,24|0.000547637449104,6|0.000527841037247,11|0.000499886778545,19|0.000332203664079,13|0.000222159837886,2|0.000173321725748,0|5.65024351299e-05,15|3.86536027258e-05
TRAKDDB128F92D168A,Lee Ritenour,Is It You?,Jazz,14|0.302907461428,12|0.228676668732,21|0.134482287444,3|0.0946064079426,16|0.077015670531,8|0.0626045284135,17|0.0576533817442,22|0.0198560834699,23|0.00326273194026,1|0.00276079768054,18|0.00200220881483,9|0.00183701066357,5|0.0017332030282,4|0.0016579339422,20|0.00143621850242,10|0.00133083006399,24|0.00117141164993,6|0.00112906657745,11|0.00106927164494,7|0.00104674556084,19|0.000710592825398,13|0.00047520603763,2|0.000370739965026,0|0.000120860271461,15|8.26811252937e-05
TRAGLSU128F145FFB2,K-OS,Heaven Only Knows,Rap,8|0.20253145253,23|0.154502252984,18|0.138460307677,11|0.134319331503,4|0.0792287010632,24|0.0791259403589,20|0.0673500933491,12|0.0601316729451,10|0.0436642774845,14|0.0363710538701,21|0.000797165934385,1|0.00058312130531,16|0.000491144582746,9|0.000388003823519,5|0.000366078115502,17|0.000345468846399,3|0.000262642465487,22|0.000249972477168,6|0.000238475561272,7|0.000221088144948,19|0.00015008771516,13|0.000100370543958,2|7.83057642582e-05,0|2.55274769865e-05,15|1.74634766052e-05
TRBCRDW128F422D8BA,Keep Of Kalessin,As Mist Lay Silent Beneath,Rock|Metal,23|0.44214665191,1|0.265828661249,10|0.0888859372626,16|0.0769854090711,18|0.0641978817946,13|0.0254599132059,14|0.0153610836964,8|0.00443408382921,12|0.00310043340753,21|0.00254071230012,9|0.00123663850196,5|0.001166757297,4|0.00111608766747,17|0.00110107182143,20|0.000966833308338,3|0.000837089135164,22|0.000796707586259,24|0.000788570679895,6|0.00076006483176,11|0.000719812090048,7|0.000704647984882,19|0.000478356748018,2|0.000249574661735,0|8.13606954e-05,15|5.56592647778e-05
TRAAGEC128E079252C,Nine Inch Nails,Metal,Electronic,12|0.343582989641,6|0.131255056399,1|0.107584286038,14|0.0835712232682,17|0.0800840148079,3|0.0795393047329,5|0.0542822092556,8|0.0350867693126,4|0.0282403129652,19|0.0269243991761,21|0.00524258468252,23|0.00453213090218,16|0.00323002646669,18|0.00278118846674,9|0.00255171829879,20|0.00199499388129,10|0.00184860300172,22|0.00164395118171,24|0.00162716123636,11|0.00148528262621,7|0.00145399254057,13|0.000660089767557,2|0.000514980109593,0|0.000167882186205,15|0.000114849055893
