tid,artist_name,title,genre,topic
TRATYJI128F4255D27,Bombay Rockers,Rock Tha Party,Pop,10
TRANIWL128F4262AB0,Bare Jr.,Tobacco Spit,Rock,10
TRABXPR128F92F27FE,Cauterize,Shooting Stars,Rock,8
TRALAZG128F93170BF,Juana Molina,Micael,Latin,2
TRABKBS128F42823EC,A Static Lullaby,God Bless You (Goddamn it),Rock,21
TRAZYQU128F934AC32,Lizzy Borden,Psychopath,Metal,12
TRAEVLO128F933DE9E,Fiona,No More Lonely Nights,Reggae,16
TRARDJY128F14750EA,30 Seconds To Mars,Year Zero,Rock,16
TRARSKA128F9336A04,Britney Spears,3,Pop,3
TRAKDDB128F92D168A,Lee Ritenour,Is It You?,Jazz,14
TRAGLSU128F145FFB2,K-OS,Heaven Only Knows,Rap,8
TRBCRDW128F422D8BA,Keep Of Kalessin,As Mist Lay Silent Beneath,Rock,23
TRAAGEC128E079252C,Nine Inch Nails,Metal,Electronic,12
TRBBOUN128F425A4E6,Rick Astley,Hopelessly,Pop,12
TRAXUPN128F42855C8,W.A.S.P.,Heaven's Hung In Black (Reprise),Rock,1
TRAZCSY128F42683F2,Pretty Boy Floyd,Shut Up,Rock,12
TRAPZQI128F428CF18,Amorphis,And I Hear You Call,Metal,23
TRAVVBW128F42819B2,Belle & Sebastian,Stay Loose,Rock,16
TRBHZUN12903CA60F7,Charlotte Gainsbourg,IRM,Pop,12
TRAASQC128F93480F0,Rise Against,Amber Changing,Punk,8
TRAEVRU128F4263351,Teena Marie,Light,RnB,23
TRAPIIR128F42AEE95,RUN-DMC,Miss Elaine,Rap,22
TRADHLI128F428FEFD,Suicidal Tendencies,Human Guinea Pig,Metal,12
TRANRWM128F42873F9,Eyes Set to Kill,Liar in the Glass,Rock,1
TRBETHV128F429722F,Andy & Lucas,Hasta Los Huesos,Pop,2
TRBDDKF128F426BF7B,Fleet Foxes,English House,Rock,14
TRBAIKM12903CBCF21,Colin James,Better Days,Blues,8
TRAUZVU12903CC050D,The Shangri-Las,Remember (Walkin' In the Sand),Rock,14
TRANYAM12903CD9CFC,Dax Riggs,Night is the Notion,Rock,16
TRAEWLF128F42B1F89,Information Society,More to This,Pop,8
TRBBMPH128F1469775,Mike And The Mechanics,Seeing Is Believing,Rock,21
TRABHVL128F92EFB0E,Bullet For My Valentine,Suffocating Under Words Of Sorrow (What Can I Do),Metal,12
TRAIZWI128F4247EFD,Ashton Shepherd,Old Memory,Country,21
TRAHVUK128F1456988,The Roots,The Ultimate,Rap,3
TRABGMB12903CF50FE,Die Fantastischen Vier,Böse,Rap,15
TRBFXVN128E078CF62,Cactus,Bro. Bill  (LP Version),Rock,21
TRAAQBF12903CF796B,Hem,Have Yourself A Merry Little Christmas,Rock,18
TRAFWEV128F428D391,Cake,Alpha Beta Parking Lot,Rock,12
TRAVYXL128EF34722F,Novembre,Reason,Metal,8
TRAZRAR128F1477778,The Four Pennies,Juliet,Pop,14
TRAGBHV128F4295074,Goldfinger,I'm Down,Rock,8
TRAUJPQ128F930D4C5,Showbread,Nothing Matters Anymore,Rock,23
TRAAMPA128F92E7D0D,Descendents,Orgofart,Punk,12
TRAEXEA128F933C67D,Pursuit Of Happiness,Hard To Laugh,Rock,5
TRALDDK128F9300AC5,Thrice,The Earth Will Shake,Rock,1
TRATGQO128F421B850,Elvenking,Pathfinders,Metal,8
TRAAXMX128F9307699,Till West & DJ Delicious,Same Man,Electronic,4
TRAYMKM128F4277046,Simon & Garfunkel,Patterns,Rock,12
TRBARSX12903D03AE5,Sade,Morning Bird,RnB,23
TRAKMLM128F14932B0,L.A. Guns,Some Lie For Love,Rock,12
TRAGKUI128F92F4698,Mithotyn,Guided By History,Metal,23
TRASIKP128F423EED7,Basement Jaxx,La Photo,Electronic,0
TRBBQFV128F4252EFF,Jack Johnson,Adrift,Pop,8
TRALEPN128F9311179,Arctic Monkeys,Dancing Shoes,Rock,7
TRACOHQ128F424C5EF,Chimaira,The Flame,Metal,23
TRAXJHG128F427EA02,3 Doors Down,Be Like That,Rock,21
TRAORSC128F4235056,MxPx,Time Will Tell,Punk,12
TRAMPCW128F92CC022,Simon & Garfunkel,A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission),Rock,8
TRAKBON128F9311039,The Rolling Stones,Around And Around,Rock,10
TRABNET128F14560AC,J.J. Cale,Trouble In The City,Rock,18
TRBHBGB128F931E4CF,Hall & Oates,Fall in Philadelphia,Rock,16
TRARPCK128F92FEA7F,Grizzly Bear,Little Brother,Rock,21
TRAJFRJ128F9328FF1,B.B. King,Early In The Morning,Blues,16
TRABLGI128F42B867A,Eighteen Visions,Our Darkest Days,Rock,23
TRAFJVH128F42BC25E,DJ Quik,Pitch In OnA Party,Rap,20
TRAHKMS128F934B09E,Lizzy Borden,There Will Be Blood Tonight,Rock,23
TRBHNEU128F426E873,Mary Black,Flesh And Blood,World,12
