"","V1","V2","V3","V4","V5","V6","V7"
"1",0.148,4,137.915,1969,148.03546,-9.843,121.274
"2",0,4,217.124,1982,233.40363,-9.013,119.293
"3",0.066,4,198.699,2007,209.60608,-4.501,129.738
"4",5.3,4,258.99,1984,269.81832,-13.496,86.643
"5",0,4,486.034,1987,491.12771,-8.576,119.826
"6",0.145,4,285.605,2004,290.29832,-5.271,150.062
"7",0.061,4,204.696,2004,207.77751,-4.264,166.862
"8",0,1,225.097,0,225.09669,-5.908,164.672
"9",0,4,87.806,2003,95.68608,-2.022,115.887
"10",0.183,4,246.19,1992,248.78975,-7.805,116.721
"11",0.734,4,168.699,2006,175.72526,-10.93,141.919
"12",0.071,5,237.598,2009,251.42812,-12.009,86.091
"13",0,4,298.347,1995,300.79955,-13.33,124.175
"14",0.322,4,224.049,1990,246.69995,-9.603,112.903
"15",0,4,213.664,2004,229.61587,-4.882,105.206
"16",0.286,4,399.9,2000,426.89261,-12.951,63.017
"17",0.229,1,130.026,1963,136.48934,-9.091,129.122
"18",0.165,4,192.087,1990,195.91791,-11.98,91.487
"19",0.113,4,279.179,2005,288.41751,-8.165,115.606
"20",0,5,121.005,2001,124.18567,-10.296,85.008
"21",0,3,253.452,2005,261.95546,-13.627,100.194
"22",0.45,4,322.101,1994,329.27302,-7.103,116.473
"23",3.344,4,273.589,2001,292.8322,-4.953,133.306
"24",2.566,1,289.332,1991,301.81832,-8.095,61.971
"25",0,5,396.533,1997,416.80934,-7.982,124.04
"26",4.267,3,414.697,2006,428.56444,-8.403,105.994
"27",0.078,4,135.285,1986,140.66893,-28.347,89.495
"28",0,4,185.289,2005,190.24934,-4.172,75.031
"29",2.67,4,248.337,1981,255.16363,-10.756,150.837
"30",0.416,4,339.754,1997,345.93914,-6.951,153.862
"31",3.489,4,250.921,1986,261.74649,-9.628,124.086
"32",0,1,117.661,2005,133.27628,-15.736,89.86
"33",0,4,251.141,2006,264.69832,-5.871,156.097
"34",0.27,4,192.182,2007,192.1824,-6.258,155.038
"35",0.38,4,316.447,2001,327.8624,-6.531,125.975
"36",0.194,4,218.827,2003,218.8273,-3.803,186.254
"37",0,4,214.941,1999,224.522,-6.694,94.057
"38",0.229,4,233.586,2001,233.58649,-3.937,89.78
"39",0.107,3,276.95,2007,288.49587,-5.912,160.022
"40",0.133,4,173.761,0,181.55057,-9.334,120.097
"41",0,4,229.837,2003,241.52771,-7.255,108.264
"42",0.318,3,150.065,0,159.03302,-9.668,165.668
"43",0.386,4,195.785,2008,205.21751,-4.332,82.205
"44",0,4,147.696,2006,153.28608,-7.535,125.558
"45",0,1,156.032,1998,168.38485,-12.77,98.49
"46",0,4,266.422,2000,266.4224,-5.947,80.149
"47",0.427,3,308.094,1989,313.7824,-11.488,107.197
"48",0.085,4,219.214,1989,224.60036,-13.256,210.871
"49",4.569,4,226.569,1999,236.25098,-5.12,112.787
"50",0.537,4,198.159,2004,207.43791,-11.255,97.538
"51",0,4,333.769,1998,338.1024,-6.318,185.88
"52",0,4,202.374,2007,221.67465,-2.838,91.483
"53",3.692,4,210.245,0,212.61016,-8.548,116.11
"54",0.129,4,146.036,1991,149.99465,-5.165,120.001
"55",0,4,213.008,2005,215.53587,-2.315,188.924
"56",5.254,4,480.403,1985,492.30322,-12.091,193.56
"57",0.206,4,249.156,2003,256.10404,-7.758,91.198
"58",0,3,271.72,1999,291.02975,-4.507,179.988
"59",2.786,4,227.498,2005,237.42649,-4.621,80.41
"60",0.415,4,170.156,2006,172.19873,-4.806,131.079
"61",2.084,4,333.456,0,359.73179,-7.301,133.383
"62",2.635,4,172.054,2001,180.97587,-3.637,142.68
"63",0,3,238.51,2001,251.81995,-8.654,229.913
"64",0.264,1,194.502,1983,202.94485,-18.863,133.398
"65",0,4,462.222,2007,466.65098,-7.714,114.73
"66",0.212,4,276.59,1999,293.92934,-9.464,163.567
"67",0.194,4,178.672,2007,187.6371,-7.188,150.066
"68",0.154,4,169.558,0,174.81098,-3.235,86.62
"69",0,4,143.139,2004,146.59873,-7.249,160.009
"70",0,1,141.398,1995,148.1922,-19.976,115.066
"71",0.17,1,219.655,1997,225.12281,-7.315,200.716
"72",0.071,1,250.357,2008,250.3571,-5.766,125.086
"73",3.065,4,350.372,2009,362.31791,-6.762,90.027
"74",0.104,1,217.298,0,231.18322,-9.647,92.98
"75",0,4,316.772,0,327.88853,-5.703,127
"76",6.844,4,266.223,0,280.45016,-6.876,97.02
"77",0.131,4,243.125,1999,254.01424,-7.199,127.745
