"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.148,0,4,6,137.915,1969,148.03546,-9.843,121.274,8,14
"2",0,1,4,0,217.124,1982,233.40363,-9.013,119.293,11,14
"3",0.066,1,4,2,198.699,2007,209.60608,-4.501,129.738,12,10
"4",5.3,1,4,4,258.99,1984,269.81832,-13.496,86.643,6,14
"5",0,1,4,7,486.034,1987,491.12771,-8.576,119.826,12,14
"6",0.145,1,4,7,285.605,2004,290.29832,-5.271,150.062,4,14
"7",0.061,1,4,7,204.696,2004,207.77751,-4.264,166.862,12,7
"8",0,1,1,7,225.097,0,225.09669,-5.908,164.672,10,14
"9",0,1,4,2,87.806,2003,95.68608,-2.022,115.887,23,14
"10",0.183,1,4,1,246.19,1992,248.78975,-7.805,116.721,3,1
"11",0.734,1,4,0,168.699,2006,175.72526,-10.93,141.919,12,3
"12",0.071,1,5,7,237.598,2009,251.42812,-12.009,86.091,14,5
"13",0,1,4,7,298.347,1995,300.79955,-13.33,124.175,22,14
"14",0.322,1,4,7,224.049,1990,246.69995,-9.603,112.903,2,6
"15",0,0,4,11,213.664,2004,229.61587,-4.882,105.206,7,9
"16",0.286,0,4,0,399.9,2000,426.89261,-12.951,63.017,12,3
"17",0.229,1,1,9,130.026,1963,136.48934,-9.091,129.122,13,9
"18",0.165,1,4,3,192.087,1990,195.91791,-11.98,91.487,8,2
"19",0.113,1,4,2,279.179,2005,288.41751,-8.165,115.606,8,14
"20",0,0,5,1,121.005,2001,124.18567,-10.296,85.008,20,11
"21",0,1,3,7,253.452,2005,261.95546,-13.627,100.194,8,2
"22",0.45,1,4,8,322.101,1994,329.27302,-7.103,116.473,21,13
"23",3.344,1,4,9,273.589,2001,292.8322,-4.953,133.306,17,14
"24",2.566,0,1,10,289.332,1991,301.81832,-8.095,61.971,10,12
"25",0,0,5,6,396.533,1997,416.80934,-7.982,124.04,12,14
"26",4.267,0,3,4,414.697,2006,428.56444,-8.403,105.994,8,14
"27",0.078,0,4,6,135.285,1986,140.66893,-28.347,89.495,12,10
"28",0,0,4,4,185.289,2005,190.24934,-4.172,75.031,22,14
"29",2.67,1,4,7,248.337,1981,255.16363,-10.756,150.837,7,14
"30",0.416,1,4,2,339.754,1997,345.93914,-6.951,153.862,8,14
"31",3.489,1,4,0,250.921,1986,261.74649,-9.628,124.086,1,14
"32",0,1,1,5,117.661,2005,133.27628,-15.736,89.86,18,14
"33",0,1,4,9,251.141,2006,264.69832,-5.871,156.097,8,9
"34",0.27,1,4,6,192.182,2007,192.1824,-6.258,155.038,19,11
"35",0.38,1,4,0,316.447,2001,327.8624,-6.531,125.975,1,9
"36",0.194,1,4,4,218.827,2003,218.8273,-3.803,186.254,8,10
"37",0,1,4,7,214.941,1999,224.522,-6.694,94.057,8,7
"38",0.229,1,4,2,233.586,2001,233.58649,-3.937,89.78,24,7
"39",0.107,1,3,10,276.95,2007,288.49587,-5.912,160.022,8,7
"40",0.133,1,4,1,173.761,0,181.55057,-9.334,120.097,22,14
"41",0,0,4,10,229.837,2003,241.52771,-7.255,108.264,8,14
"42",0.318,1,3,9,150.065,0,159.03302,-9.668,165.668,18,2
"43",0.386,1,4,4,195.785,2008,205.21751,-4.332,82.205,14,9
"44",0,1,4,1,147.696,2006,153.28608,-7.535,125.558,4,3
"45",0,1,1,9,156.032,1998,168.38485,-12.77,98.49,8,14
"46",0,0,4,6,266.422,2000,266.4224,-5.947,80.149,23,11
"47",0.427,1,3,7,308.094,1989,313.7824,-11.488,107.197,21,1
"48",0.085,1,4,8,219.214,1989,224.60036,-13.256,210.871,16,4
"49",4.569,1,4,0,226.569,1999,236.25098,-5.12,112.787,8,9
"50",0.537,1,4,9,198.159,2004,207.43791,-11.255,97.538,24,9
"51",0,1,4,1,333.769,1998,338.1024,-6.318,185.88,23,11
"52",0,1,4,2,202.374,2007,221.67465,-2.838,91.483,14,14
"53",3.692,1,4,7,210.245,0,212.61016,-8.548,116.11,7,14
"54",0.129,0,4,9,146.036,1991,149.99465,-5.165,120.001,15,11
"55",0,1,4,0,213.008,2005,215.53587,-2.315,188.924,12,7
"56",5.254,1,4,9,480.403,1985,492.30322,-12.091,193.56,14,14
"57",0.206,1,4,10,249.156,2003,256.10404,-7.758,91.198,3,13
"58",0,1,3,7,271.72,1999,291.02975,-4.507,179.988,23,14
"59",2.786,1,4,7,227.498,2005,237.42649,-4.621,80.41,21,14
"60",0.415,1,4,6,170.156,2006,172.19873,-4.806,131.079,23,14
"61",2.084,0,4,6,333.456,0,359.73179,-7.301,133.383,18,14
"62",2.635,1,4,2,172.054,2001,180.97587,-3.637,142.68,8,14
"63",0,0,3,2,238.51,2001,251.81995,-8.654,229.913,2,4
"64",0.264,0,1,6,194.502,1983,202.94485,-18.863,133.398,18,14
"65",0,1,4,9,462.222,2007,466.65098,-7.714,114.73,17,14
"66",0.212,0,4,5,276.59,1999,293.92934,-9.464,163.567,8,15
"67",0.194,0,4,5,178.672,2007,187.6371,-7.188,150.066,1,9
"68",0.154,1,4,7,169.558,0,174.81098,-3.235,86.62,14,9
"69",0,1,4,0,143.139,2004,146.59873,-7.249,160.009,13,7
"70",0,1,1,4,141.398,1995,148.1922,-19.976,115.066,2,9
"71",0.17,1,1,7,219.655,1997,225.12281,-7.315,200.716,1,9
"72",0.071,1,1,7,250.357,2008,250.3571,-5.766,125.086,23,14
"73",3.065,1,4,2,350.372,2009,362.31791,-6.762,90.027,17,7
"74",0.104,1,1,5,217.298,0,231.18322,-9.647,92.98,18,13
"75",0,0,4,10,316.772,0,327.88853,-5.703,127,23,3
"76",6.844,1,4,7,266.223,0,280.45016,-6.876,97.02,2,6
"77",0.131,1,4,7,243.125,1999,254.01424,-7.199,127.745,11,14
"78",0,1,4,2,179.188,2006,190.56281,-10.548,89.966,8,1
"79",0,1,4,8,133.625,0,141.19138,-9.56,91.704,21,9
"80",0.618,1,4,1,229.976,2003,240.43057,-4.714,97.148,8,14
"81",0.34,1,4,7,183.844,2004,194.35057,-13.047,151.5,8,4
"82",0.255,0,4,9,281.141,2002,298.37016,-6.311,111.903,14,1
"83",2.955,1,1,6,346.448,1999,359.6273,-10.609,141.334,8,10
"84",0.16,1,4,4,229.825,2001,234.52689,-6.022,167.909,23,11
"85",0.177,1,4,7,258.885,2005,290.97751,-15.546,121.773,8,2
"86",0,1,3,7,314.23,0,324.85832,-10.086,102.756,9,14
"87",0.456,1,4,4,230.075,1992,235.41506,-5.492,129.318,23,14
"88",0.212,0,4,4,224.177,2003,230.42567,-5.981,86.82,8,14
"89",0.346,1,1,4,188.943,1927,188.94322,-17.714,99.076,7,1
"90",0.073,1,4,1,252.204,2006,260.54485,-5.202,129.984,23,3
"91",0.276,1,4,4,187.582,2000,197.19791,-29.75,127.782,2,5
"92",0.238,1,5,5,275.528,2001,280.21506,-3.306,173.205,12,7
"93",0,1,4,10,216.195,1998,222.09261,-7.974,106.769,20,11
"94",0.183,1,1,0,275.418,2003,283.74159,-11.766,116.621,12,14
"95",3.413,0,4,6,200.789,2005,212.29669,-3.753,85.029,12,14
"96",0,1,3,11,147.603,2004,149.91628,-8.225,165.546,21,11
"97",0,1,4,0,256.592,2009,280.24118,-9.074,64.811,1,3
"98",0.125,0,4,9,132.737,0,138.4224,-4.994,201.951,21,2
"99",0,0,4,9,279.319,1999,286.24934,-9.033,119.428,1,14
"100",0,0,3,4,347.846,2002,347.84608,-6.774,152.214,12,9
"101",0,0,4,10,219.173,2006,225.64526,-4.442,110.994,23,14
"102",0.119,1,4,11,211.569,1989,215.11791,-5.945,101.742,4,14
"103",0.224,1,4,9,152.816,1968,159.60771,-13.592,105.202,14,2
"104",0.976,1,5,7,200.899,0,209.99791,-6.186,145.689,14,14
"105",0,0,4,9,215.208,1999,218.61832,-2.599,200.061,23,7
"106",0,1,1,5,248.79,1989,248.78975,-11.814,128.598,7,14
"107",0,1,4,7,323.186,2007,323.18649,-4.238,150.11,23,7
"108",0.183,1,4,7,250.358,2002,269.73995,-7.462,103.009,9,14
"109",0,0,4,9,85.263,1983,85.26322,-9.614,86.536,24,10
"110",0.078,1,4,4,267.685,2008,271.85587,-4.002,120.119,5,3
"111",1.46,1,4,6,269.328,1999,275.69587,-6.518,80.979,14,9
"112",0.119,1,4,2,246.213,0,259.68281,-18.184,141.51,1,2
"113",0,1,4,5,417.671,2004,417.67138,-7.865,181.549,23,12
"114",0.062,1,5,2,180.024,1977,189.30893,-7.54,86.902,7,14
"115",0.148,1,4,4,257.248,1995,263.8624,-5.498,136.459,4,14
"116",0.647,1,4,0,287.277,1983,298.89261,-6.375,119.903,1,13
"117",0,1,4,9,181.481,2007,189.75302,-5.991,168.248,8,14
"118",0.149,0,4,7,175.299,1994,194.40281,-6.942,145.228,14,14
"119",0.241,1,4,11,172.141,2004,174.602,-4.022,142.01,8,14
"120",0.061,1,1,6,180.251,1996,184.2673,-10.72,98.623,21,1
"121",0.119,1,4,11,315.31,1969,324.70159,-11.359,167.841,6,14
"122",0,0,4,10,214.698,2000,223.52934,-5.304,111.004,21,9
"123",0,1,4,9,169.059,2007,173.37424,-5.516,201.333,23,7
"124",0.147,1,4,0,190.346,2003,195.5522,-6.675,196.137,2,6
"125",0.374,1,4,7,154.749,1992,159.34649,-16.163,42.654,15,5
"126",1.483,1,3,2,216.178,1972,221.962,-28.946,104.469,21,1
"127",0,1,4,1,248.413,1999,260.33587,-5.869,100.694,24,11
"128",0,1,1,5,227.097,2002,238.47138,-3.947,183.58,20,11
"129",2.345,1,3,7,289.21,1981,308.94975,-14.178,139.402,17,14
"130",3.257,1,1,8,229.767,1986,237.13914,-8.591,156.65,22,14
"131",2.368,1,4,9,284.311,1995,312.13669,-7.207,122.243,7,14
"132",3.32,1,4,3,461.926,2008,472.45016,-3.258,111.504,23,7
"133",0,1,1,7,159.655,0,163.29098,-5.084,126.464,2,14
"134",3.268,1,4,0,102.806,1999,108.40771,-6.695,131.078,8,14
"135",0.206,1,4,7,133.863,2007,144.03873,-3.942,152.041,8,14
"136",2.148,1,3,3,192.789,2009,204.40771,-2.192,194.532,8,10
"137",0.302,0,4,11,120.796,1987,125.90975,-9.96,186.159,12,7
"138",0.198,1,4,2,197.671,2003,208.32608,-6.067,136.932,8,1
"139",0,1,3,4,274.187,2007,295.23546,-6.163,124.078,17,7
"140",0,0,4,7,228.989,2008,228.98893,-3.257,88.127,11,14
"141",0,1,4,7,191.872,2004,195.29098,-7.163,150.155,7,14
"142",0.158,1,3,2,241.795,2007,253.67465,-7.442,150.83,14,14
"143",15.488,1,4,7,245.133,2007,277.99465,-8.878,80.023,12,14
"144",0,0,3,6,130.525,2004,136.98567,-5.654,154.211,8,14
"145",0.098,1,3,2,224.804,1970,232.64608,-19.991,74.665,1,2
"146",3.355,0,4,6,207.128,2004,224.62649,-5.627,103.433,20,11
"147",0.386,0,4,0,184.662,1995,194.61179,-7.683,110.178,18,5
"148",0,1,4,2,202.96,2004,217.10322,-5.75,146.683,18,14
"149",0.154,1,4,11,208.132,2009,215.74485,-6.81,151.936,3,14
"150",2.914,1,4,2,344.752,2008,351.32036,-7.168,128.976,8,3
"151",0.13,0,3,11,180.86,2002,196.62322,-14.301,96.027,12,2
"152",0,1,4,5,253.806,1996,259.76118,-10.175,137.342,23,9
"153",0.09,0,4,6,229.622,0,242.15465,-3.38,95.464,20,11
"154",0.189,1,4,7,191.947,1995,191.9473,-7.711,97.643,20,14
"155",0.345,1,4,7,250.392,0,265.97832,-5.425,150.116,14,14
"156",0,0,7,3,443.689,2007,443.68934,-6.465,100.331,8,7
"157",0.346,1,4,3,241.993,2004,252.86485,-10.468,123.997,1,4
"158",3.268,1,4,2,185.94,1977,194.97751,-9.769,91.453,8,14
"159",2.763,1,4,8,198.583,2006,209.162,-7.078,125.057,1,14
"160",0.183,1,5,5,229.198,0,238.41914,-7.404,123.81,0,14
"161",0.385,0,4,2,154.305,2000,154.30485,-8.328,94.905,21,11
"162",0,0,4,2,287.672,0,296.95955,-4.854,128.134,23,14
"163",0.148,1,1,3,136.319,1962,145.162,-6.643,129.781,9,13
"164",0.142,1,4,2,161.472,2004,166.29506,-6.467,82.909,20,14
"165",15.018,1,4,0,299.619,0,313.70404,-12.679,137.068,11,14
"166",0,1,3,6,177.046,2006,189.70077,-12.1,119.683,0,9
"167",3.663,1,4,3,394.043,1999,399.882,-10.648,85.399,1,14
"168",0.345,0,4,6,221.931,2001,225.48853,-4.947,106.919,11,9
"169",2.926,0,3,0,194.769,2003,206.81098,-3.738,85.331,8,9
"170",0.09,1,4,11,277.812,0,277.81179,-5.431,133.005,23,14
"171",0.519,1,4,7,191.025,1995,200.75057,-11.448,202.829,8,14
"172",0,1,4,5,75.9,2004,80.53506,-6.855,104.783,24,11
"173",0.079,1,1,6,158.174,1968,168.01914,-11.803,103.088,5,13
"174",0.13,1,4,0,298.969,1971,307.722,-8.392,75.706,9,14
