"","song_hotttnesss","end_of_fade_in","mode","time_signature","key","start_of_fade_out","year","duration","loudness","genre"
"1",NA,0.148,0,4,6,137.915,1969,148.03546,-9.843,"Rock"
"2",NA,0,1,4,0,217.124,1982,233.40363,-9.013,"Rock"
"3",0.604500738589,0.066,1,4,2,198.699,2007,209.60608,-4.501,"Punk"
"4",0.265861049211,5.3,1,4,4,258.99,1984,269.81832,-13.496,"Rock"
"5",0.405115721691,0,1,4,7,486.034,1987,491.12771,-8.576,"Rock"
"6",0.684136191229,0.145,1,4,7,285.605,2004,290.29832,-5.271,"Rock"
"7",0.66652784623,0.061,1,4,7,204.696,2004,207.77751,-4.264,"Metal"
"8",0.3759843015,0,1,1,7,225.097,0,225.09669,-5.908,"Rock"
"9",0.528782480943,0,1,4,2,87.806,2003,95.68608,-2.022,"Rock"
"10",NA,0.183,1,4,1,246.19,1992,248.78975,-7.805,"Blues"
"11",0.785892288388,0.734,1,4,0,168.699,2006,175.72526,-10.93,"Electronic"
"12",0.434838090261,0.071,1,5,7,237.598,2009,251.42812,-12.009,"Jazz"
"13",0.610474257772,0,1,4,7,298.347,1995,300.79955,-13.33,"Rock"
"14",0.626165759669,0.322,1,4,7,224.049,1990,246.69995,-9.603,"Latin"
"15",0.624425493271,0,0,4,11,213.664,2004,229.61587,-4.882,"Pop"
"16",0.635536648623,0.286,0,4,0,399.9,2000,426.89261,-12.951,"Electronic"
"17",NA,0.229,1,1,9,130.026,1963,136.48934,-9.091,"Pop"
"18",NA,0.165,1,4,3,192.087,1990,195.91791,-11.98,"Country"
"19",0.725121283567,0.113,1,4,2,279.179,2005,288.41751,-8.165,"Rock"
"20",0.570105930058,0,0,5,1,121.005,2001,124.18567,-10.296,"Rap"
"21",0.488289876037,0,1,3,7,253.452,2005,261.95546,-13.627,"Country"
"22",0.345802233965,0.45,1,4,8,322.101,1994,329.27302,-7.103,"RnB"
"23",0.466304830757,3.344,1,4,9,273.589,2001,292.8322,-4.953,"Rock"
"24",0.345802233965,2.566,0,1,10,289.332,1991,301.81832,-8.095,"Reggae"
"25",0.825173540378,0,0,5,6,396.533,1997,416.80934,-7.982,"Rock"
"26",0.659304669164,4.267,0,3,4,414.697,2006,428.56444,-8.403,"Rock"
"27",0.519448581494,0.078,0,4,6,135.285,1986,140.66893,-28.347,"Punk"
"28",0.543052864199,0,0,4,4,185.289,2005,190.24934,-4.172,"Rock"
"29",NA,2.67,1,4,7,248.337,1981,255.16363,-10.756,"Rock"
"30",0.447135796286,0.416,1,4,2,339.754,1997,345.93914,-6.951,"Rock"
"31",0.714046552772,3.489,1,4,0,250.921,1986,261.74649,-9.628,"Rock"
"32",0.360370582712,0,1,1,5,117.661,2005,133.27628,-15.736,"Rock"
"33",0.56698844404,0,1,4,9,251.141,2006,264.69832,-5.871,"Pop"
"34",0.519403045737,0.27,1,4,6,192.182,2007,192.1824,-6.258,"Rap"
"35",0.688521844119,0.38,1,4,0,316.447,2001,327.8624,-6.531,"Pop"
"36",0.696469436584,0.194,1,4,4,218.827,2003,218.8273,-3.803,"Punk"
"37",NA,0,1,4,7,214.941,1999,224.522,-6.694,"Metal"
"38",0.784194615956,0.229,1,4,2,233.586,2001,233.58649,-3.937,"Metal"
"39",NA,0.107,1,3,10,276.95,2007,288.49587,-5.912,"Metal"
"40",0.621765582518,0.133,1,4,1,173.761,0,181.55057,-9.334,"Rock"
"41",0.87370249491,0,0,4,10,229.837,2003,241.52771,-7.255,"Rock"
"42",0,0.318,1,3,9,150.065,0,159.03302,-9.668,"Country"
"43",0.41967427881,0.386,1,4,4,195.785,2008,205.21751,-4.332,"Pop"
"44",0.721572660839,0,1,4,1,147.696,2006,153.28608,-7.535,"Electronic"
"45",NA,0,1,1,9,156.032,1998,168.38485,-12.77,"Rock"
"46",0.636287224427,0,0,4,6,266.422,2000,266.4224,-5.947,"Rap"
"47",NA,0.427,1,3,7,308.094,1989,313.7824,-11.488,"Blues"
"48",0.425124658313,0.085,1,4,8,219.214,1989,224.60036,-13.256,"Folk"
"49",NA,4.569,1,4,0,226.569,1999,236.25098,-5.12,"Pop"
"50",0.419125892959,0.537,1,4,9,198.159,2004,207.43791,-11.255,"Pop"
"51",0.401486711428,0,1,4,1,333.769,1998,338.1024,-6.318,"Rap"
"52",0.270775998946,0,1,4,2,202.374,2007,221.67465,-2.838,"Rock"
"53",NA,3.692,1,4,7,210.245,0,212.61016,-8.548,"Rock"
"54",NA,0.129,0,4,9,146.036,1991,149.99465,-5.165,"Rap"
"55",NA,0,1,4,0,213.008,2005,215.53587,-2.315,"Metal"
"56",0.63924848915,5.254,1,4,9,480.403,1985,492.30322,-12.091,"Rock"
"57",NA,0.206,1,4,10,249.156,2003,256.10404,-7.758,"RnB"
"58",0.660344382587,0,1,3,7,271.72,1999,291.02975,-4.507,"Rock"
"59",0.542307526169,2.786,1,4,7,227.498,2005,237.42649,-4.621,"Rock"
"60",0.660369705772,0.415,1,4,6,170.156,2006,172.19873,-4.806,"Rock"
"61",NA,2.084,0,4,6,333.456,0,359.73179,-7.301,"Rock"
"62",0.784712265796,2.635,1,4,2,172.054,2001,180.97587,-3.637,"Rock"
"63",0.400039656955,0,0,3,2,238.51,2001,251.81995,-8.654,"Folk"
"64",NA,0.264,0,1,6,194.502,1983,202.94485,-18.863,"Rock"
"65",NA,0,1,4,9,462.222,2007,466.65098,-7.714,"Rock"
"66",0.511424325686,0.212,0,4,5,276.59,1999,293.92934,-9.464,"World"
"67",NA,0.194,0,4,5,178.672,2007,187.6371,-7.188,"Pop"
"68",0.569275650675,0.154,1,4,7,169.558,0,174.81098,-3.235,"Pop"
"69",0.653815560975,0,1,4,0,143.139,2004,146.59873,-7.249,"Metal"
"70",0.70112428622,0,1,1,4,141.398,1995,148.1922,-19.976,"Pop"
"71",0.674164746452,0.17,1,1,7,219.655,1997,225.12281,-7.315,"Pop"
"72",0.538200451746,0.071,1,1,7,250.357,2008,250.3571,-5.766,"Rock"
"73",0.67569680729,3.065,1,4,2,350.372,2009,362.31791,-6.762,"Metal"
"74",0.99775839634,0.104,1,1,5,217.298,0,231.18322,-9.647,"RnB"
"75",NA,0,0,4,10,316.772,0,327.88853,-5.703,"Electronic"
"76",0.646995746924,6.844,1,4,7,266.223,0,280.45016,-6.876,"Latin"
"77",0.535106024898,0.131,1,4,7,243.125,1999,254.01424,-7.199,"Rock"
"78",NA,0,1,4,2,179.188,2006,190.56281,-10.548,"Blues"
"79",NA,0,1,4,8,133.625,0,141.19138,-9.56,"Pop"
"80",0.714329037028,0.618,1,4,1,229.976,2003,240.43057,-4.714,"Rock"
"81",0.41967427881,0.34,1,4,7,183.844,2004,194.35057,-13.047,"Folk"
"82",0.503381236206,0.255,0,4,9,281.141,2002,298.37016,-6.311,"Blues"
